Analysis Counter,Node,Read time,Write time,Embedding time,Choose action,Reward calculate,Execution time,Training time
52,sta3,7.978200912475586,0.051021575927734375,0.3170967102050781,10.492801666259766,0.02384185791015625,18.976688385009766,0
53,sta3,52.474260330200195,0.09083747863769531,0.5443096160888672,14.26076889038086,0.010728836059570312,67.54088401794434,0
54,sta3,68.82739067077637,0.06794929504394531,0.5698204040527344,14.50037956237793,0.009298324584960938,84.1217041015625,0
55,sta3,58.08424949645996,0.11777877807617188,0.48613548278808594,17.047882080078125,0.02002716064453125,75.9892463684082,0
56,sta3,2.2284984588623047,0.06985664367675781,0.3592967987060547,11.042356491088867,0.009059906005859375,13.837814331054688,0
57,sta3,48.06661605834961,0.10132789611816406,0.5514621734619141,15.672922134399414,0.021696090698242188,64.72277641296387,0
58,sta3,0.23436546325683594,0.04887580871582031,0.36525726318359375,11.065244674682617,0.0073909759521484375,11.837482452392578,0
59,sta3,57.69181251525879,0.044345855712890625,0.7815361022949219,10.84589958190918,0.00667572021484375,69.55099105834961,0
60,sta3,30.866622924804688,0.06008148193359375,0.6177425384521484,13.09514045715332,0.010251998901367188,44.790029525756836,0
61,sta3,309.3540668487549,0.06198883056640625,0.3287792205810547,6.368160247802734,0.0073909759521484375,316.21551513671875,0
62,sta3,213.66405487060547,0.04839897155761719,0.33211708068847656,9.865999221801758,0.0069141387939453125,224.0140438079834,0
63,sta3,31.36587142944336,0.05650520324707031,0.5085468292236328,11.808395385742188,0.010013580322265625,43.9145565032959,0
64,sta3,193.18485260009766,0.08249282836914062,0.4687309265136719,13.997793197631836,0.012874603271484375,207.9312801361084,0
65,sta3,32.9594612121582,0.11706352233886719,0.5726814270019531,15.669584274291992,0.020503997802734375,49.58343505859375,0
66,sta3,156.6784381866455,0.061511993408203125,0.316619873046875,7.2574615478515625,0.009298324584960938,164.43395614624023,0
67,sta3,13.639450073242188,0.04506111145019531,0.19788742065429688,6.204128265380859,0.017404556274414062,20.19786834716797,0
68,sta3,19.874095916748047,0.07557868957519531,0.26726722717285156,6.209135055541992,0.008821487426757812,26.53646469116211,0
69,sta3,13.938426971435547,0.08797645568847656,0.5042552947998047,12.251615524291992,0.0152587890625,26.987075805664062,0
70,sta3,112.5791072845459,0.10919570922851562,0.48422813415527344,15.7928466796875,0.019788742065429688,129.28199768066406,0
71,sta3,34.209489822387695,0.12350082397460938,0.5278587341308594,15.324592590332031,0.020742416381835938,50.46248435974121,0
72,sta3,30.837059020996094,0.11968612670898438,0.5466938018798828,16.625642776489258,0.021457672119140625,48.415184020996094,0
73,sta3,57.13796615600586,0.11801719665527344,0.4973411560058594,16.040802001953125,0.015497207641601562,74.00059700012207,0
74,sta3,40.773630142211914,0.06079673767089844,0.7965564727783203,18.654823303222656,0.010728836059570312,60.48154830932617,0
75,sta3,0.4343986511230469,0.0362396240234375,0.1506805419921875,5.087852478027344,0.0059604644775390625,5.781412124633789,0
